"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Cellular agriculture is a growing area of interest in the UK - a new community group, Cultivate, is launching https://t.co/ibkC4h8cbs",FALSE,0,NA,2016-11-13 15:59:42,FALSE,NA,"797831312056942592",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","sophiedaleblack",0,FALSE,FALSE,NA,NA
"RT @coopnews: Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards
https://t.co/lau5WdyXtC…",FALSE,0,NA,2016-11-13 14:31:58,FALSE,NA,"797809232389218304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatriciaJuby",5,TRUE,FALSE,NA,NA
"RT @coopnews: Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards
https://t.co/lau5WdyXtC…",FALSE,0,NA,2016-11-13 13:50:53,FALSE,NA,"797798896361701376",NA,"<a href=""http://www.smh.com.au/"" rel=""nofollow"">31st October 2016</a>","SocialChangeAus",5,TRUE,FALSE,NA,NA
"RT @coopnews: Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards
https://t.co/lau5WdyXtC…",FALSE,0,NA,2016-11-13 13:50:26,FALSE,NA,"797798780162740225",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","shelley1451",5,TRUE,FALSE,NA,NA
"RT @coopnews: Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards
https://t.co/lau5WdyXtC…",FALSE,0,NA,2016-11-13 13:40:33,FALSE,NA,"797796295960383488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JakobWranne",5,TRUE,FALSE,NA,NA
"RT @coopnews: Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards
https://t.co/lau5WdyXtC…",FALSE,0,NA,2016-11-13 13:37:54,FALSE,NA,"797795628596203520",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","FrontlineCopy",5,TRUE,FALSE,NA,NA
"Scottish co-op @ButhBharraigh crowned a winner at UK’s only dedicated national rural community awards… https://t.co/LC1om08yXB",FALSE,6,NA,2016-11-13 13:34:12,TRUE,NA,"797794697850798080",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","coopnews",5,FALSE,FALSE,NA,NA
"Healthy Finances | Urban Farming Community https://t.co/RQ81gs0jbv https://t.co/Y7CfvChoyD",FALSE,0,NA,2016-11-13 12:02:00,FALSE,NA,"797771492905848833",NA,"<a href=""http://rightrelevance.com"" rel=""nofollow"">RightRelevanceTweetApp</a>","UrbanAgRRicult",0,FALSE,FALSE,NA,NA
"ROOT can be a great platform for Community Supported Agriculture methinks. @MSeedImpact #mseedpitch 2016.",FALSE,0,NA,2016-11-13 11:15:12,FALSE,NA,"797759717233790977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MayTKhine",0,FALSE,FALSE,NA,NA
"RT @ABLE_AG: The world community needs to develop a system where rules related to agro-biodiversity is harmonised- @narendramodi 
https://t…",FALSE,0,NA,2016-11-13 03:49:01,FALSE,NA,"797647429805838336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gramoo65",1,TRUE,FALSE,NA,NA
"RT @timreid62: Thanks @RamTrucksCanada  for your continued support of @Northlands and our Agriculture community - best of the best! https:/…",FALSE,0,NA,2016-11-13 00:16:54,FALSE,NA,"797594047598596096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suzymiller66",6,TRUE,FALSE,NA,NA
"RT @timreid62: Thanks @RamTrucksCanada  for your continued support of @Northlands and our Agriculture community - best of the best! https:/…",FALSE,0,NA,2016-11-13 00:10:21,FALSE,NA,"797592399954341889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GlennOstrosky",6,TRUE,FALSE,NA,NA
"RT @timreid62: Thanks @RamTrucksCanada  for your continued support of @Northlands and our Agriculture community - best of the best! https:/…",FALSE,0,NA,2016-11-12 23:54:22,FALSE,NA,"797588378040631296",NA,"<a href=""http://sdaglabs.com/"" rel=""nofollow"">Pesticide_Retweet</a>","SD_Ag_Labs",6,TRUE,FALSE,NA,NA
