"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"UHHS Caregivers provide independence for Garden City community members every day. Thank you! #CaregiverAppreciationDay",FALSE,1,NA,2016-11-13 16:38:01,FALSE,NA,"797840954090749952",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","GCHcares",0,FALSE,FALSE,NA,NA
"RT @MoleValleyDC: Garden waste can be taken to #SurreyCRCs for free. Visit https://t.co/D7hKLOTZ9H to see what you can take for free &amp; DIY…",FALSE,0,NA,2016-11-13 16:36:33,FALSE,NA,"797840586057388032",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vivmichael1966",2,TRUE,FALSE,NA,NA
"If you want to bring permaculture to the people, here's how to set about it = https://t.co/nIyekb94F9",FALSE,1,NA,2016-11-13 16:35:09,FALSE,NA,"797840233488416769",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","regenleadership",0,FALSE,FALSE,NA,NA
"@BYHPTimTD when we was looking for the community garden !",FALSE,0,"BYHPTimTD",2016-11-13 16:34:29,FALSE,"797839810018836481","797840064256544768","3986869989","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thehivebanbury",0,FALSE,FALSE,NA,NA
"RT @MoleValleyDC: Garden waste can be taken to #SurreyCRCs for free. Visit https://t.co/D7hKLOTZ9H to see what you can take for free &amp; DIY…",FALSE,0,NA,2016-11-13 16:29:00,FALSE,NA,"797838684259307520",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","livingkt22",2,TRUE,FALSE,NA,NA
"Garden waste can be taken to #SurreyCRCs for free. Visit https://t.co/D7hKLOTZ9H to see what you can take for free &amp; DIY waste charges.",FALSE,2,NA,2016-11-13 16:20:02,FALSE,NA,"797836429854380032",NA,"<a href=""http://www.socialsignin.co.uk"" rel=""nofollow"">SocialSignIn Application</a>","MoleValleyDC",2,FALSE,FALSE,NA,NA
"Conor McGregor headlines epic UFC card at Madison Square Garden on Saturday #madison  #news https://t.co/dAigbjeACi",FALSE,0,NA,2016-11-13 16:11:21,FALSE,NA,"797834245641117696",NA,"<a href=""https://community-scene.com"" rel=""nofollow"">Community Scene</a>","community_scene",0,FALSE,FALSE,NA,NA
"Madison Square Garden And Conor McGregor Produce Perfect Storm For UFC 205 #madison  #news https://t.co/Q9weVXbpUu",FALSE,0,NA,2016-11-13 16:10:21,FALSE,NA,"797833990719696896",NA,"<a href=""https://community-scene.com"" rel=""nofollow"">Community Scene</a>","community_scene",0,FALSE,FALSE,NA,NA
"RT @abc13houston: Veterans come together to build community garden and library in Houston: https://t.co/tmBASS07Rr  #HouNews https://t.co/s…",FALSE,0,NA,2016-11-13 16:01:34,FALSE,NA,"797831780539781124",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayLearning",5,TRUE,FALSE,NA,NA
"RT @eatsrosyth: Turnips, swede and kohlrabi ready to harvest at #Rosyth community garden now. Come and see us on Sunday &amp; lend a hand if yo…",FALSE,0,NA,2016-11-13 15:54:28,FALSE,NA,"797829995569745920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CLEARFife",1,TRUE,FALSE,NA,NA
"Planning a #communitygarden next year? Be aware of these 5 challenges first https://t.co/dKU6067ker",FALSE,0,NA,2016-11-13 15:40:20,FALSE,NA,"797826439605350400",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SeeWhatGrows",0,FALSE,FALSE,NA,NA
"RT @LinkThamesmead: Circle of Friendship Community Garden project Part of The Link Thamesmead. #gardenproject #thamesmead #madeinthamesmead…",FALSE,0,NA,2016-11-13 15:33:28,FALSE,NA,"797824710725763072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BethanypGreen",1,TRUE,FALSE,NA,NA
"RT @LinkThamesmead: Local artist JoNny Stockbridge working on the Circle of Friendship Community garden project! Check it out at The Link T…",FALSE,0,NA,2016-11-13 15:33:12,FALSE,NA,"797824642635464714",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BethanypGreen",1,TRUE,FALSE,NA,NA
